Game result,Thinking time,VP from Military Conflicts (Victory),VP from Military Conflicts (Defeat),VP from Treasury Contents,VP from Wonder, VP from Civilian Structures,VP from Scientific Structures,VP from Commercial Structures,VP from Guilds,Constructed stages of the Wonder,Cards discarded,Chained constructions,Coins spent on commerce,Coins gained through commerce,Shields,Wonder side A,Wonder ID,Civilian Structures,Scientific Structures,Guilds,Military Structures,Commercial Structures,Raw Materials,Manufactured Goods
1st (64),3:31,18,0,8,7,14,0,8,9,2,1,0,11,12,7,no,11,3,0,1,3,4,4,0
2nd (57),3:53,0,-5,5,0,11,31,6,9,0,0,4,7,16,2,yes,3,2,7,1,1,2,2,3
3rd (50),3:08,12,0,2,3,25,0,0,8,2,0,1,12,2,8,no,14,6,0,1,4,3,3,1
4th (38),2:49,0,-5,4,10,11,4,0,14,3,0,3,7,7,5,no,12,2,2,2,2,2,4,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (70),4:27,18,0,3,7,25,0,0,17,3,1,0,4,9,4,no,13,4,0,2,3,1,3,1
2nd (54),5:41,0,-6,2,10,0,48,0,0,3,3,4,15,0,0,no,12,0,9,0,0,2,1,0
3rd (51),2:18,18,0,12,7,12,0,2,0,2,3,1,0,13,8,no,11,3,0,0,3,2,5,0
4th (44),4:06,0,-6,3,10,17,10,4,6,3,0,2,7,4,0,yes,3,4,2,2,0,4,2,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (61),5:06,1,-3,1,3,11,48,0,0,2,0,4,14,12,3,no,14,2,8,1,2,1,3,1
2nd (56),3:32,13,-1,6,7,18,0,6,7,3,0,2,4,10,9,no,13,4,0,1,4,3,3,0
3rd (54),3:10,7,-3,5,5,23,0,4,13,3,0,4,4,16,5,no,10,5,0,1,3,4,2,0
4th (52),2:52,11,-3,3,10,9,0,4,18,3,2,1,24,8,4,no,12,2,0,3,2,1,4,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (69),7:00,18,0,4,3,36,0,0,8,3,0,2,4,18,7,no,14,7,0,1,4,1,4,1
2nd (50),5:20,8,-3,4,10,10,21,0,0,3,0,5,12,11,5,no,12,2,6,0,2,1,3,1
3rd (49),3:36,0,-5,4,3,5,36,6,0,3,4,4,22,6,0,no,9,1,7,0,0,3,2,1
4th (48),5:15,9,-3,5,7,6,0,3,21,3,0,1,7,10,6,no,13,2,0,3,3,4,3,0
,,,,,,,,,,,,,,,,,,,,,,,,
1st (58),3:31,13,-1,2,5,17,0,0,22,3,0,0,11,11,7,no,10,3,0,2,4,1,3,2
2nd (52),3:16,10,-3,7,20,14,0,4,0,4,1,1,5,11,8,no,8,3,0,0,3,3,3,1
3rd (49),3:30,3,-3,1,3,9,36,0,0,3,3,5,8,0,3,no,14,2,8,0,2,0,2,1
4th (48),8:04,6,-3,5,3,15,0,8,14,2,1,2,6,8,6,no,9,4,0,2,3,5,3,0
,,,,,,,,,,,,,,,,,,,,,,,,
1st (55),2:39,18,0,3,5,11,0,0,18,3,0,1,1,10,9,no,10,2,0,2,5,2,3,1
2nd (55),3:58,0,-6,3,10,17,31,0,0,3,0,2,12,2,0,no,12,3,6,1,0,2,3,0
3rd (49),2:49,9,-3,0,7,15,9,0,12,3,1,4,7,3,6,no,13,3,3,2,3,1,2,0
4th (45),7:11,9,-3,11,3,6,0,15,4,2,3,0,5,10,3,no,9,2,0,1,2,5,2,3
,,,,,,,,,,,,,,,,,,,,,,,,
1st (65),3:40,16,-1,8,7,7,0,5,23,3,0,0,6,20,7,no,13,2,0,3,3,3,3,1
2nd (55),2:55,0,-5,2,3,7,48,0,0,3,2,5,5,6,0,no,9,2,8,0,0,2,2,1
3rd (53),3:24,18,0,3,7,19,0,2,4,2,1,0,6,0,8,no,11,4,0,1,4,1,5,0
4th (51),3:05,1,-5,6,10,28,0,3,8,3,0,1,15,6,1,no,12,5,0,1,1,4,3,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (62),3:05,12,-1,6,20,8,0,9,8,4,0,2,5,8,6,no,8,2,0,1,3,5,3,0
2nd (53),3:30,13,0,1,7,20,0,0,12,3,0,1,8,4,7,no,13,4,0,2,4,3,1,1
3rd (47),3:09,5,-3,6,3,12,4,11,9,3,0,0,4,13,7,no,9,2,1,1,3,2,5,3
4th (45),4:53,0,-6,0,3,10,38,0,0,2,3,6,8,0,2,no,14,2,7,1,1,1,3,0
,,,,,,,,,,,,,,,,,,,,,,,,
1st (61),3:45,16,0,3,3,9,10,4,16,3,0,1,10,10,6,no,9,2,2,2,3,2,4,2
2nd (58),3:20,0,-4,0,0,7,55,0,0,2,1,5,6,3,1,no,13,1,9,1,1,1,1,1
3rd (57),4:06,16,0,7,3,22,0,9,0,1,1,2,5,7,6,no,11,4,0,0,3,6,3,0
4th (52),6:02,0,-4,5,5,16,0,4,26,3,0,1,11,12,1,no,10,4,0,3,1,2,3,2
,,,,,,,,,,,,,,,,,,,,,,,,
1st (68),8:38,17,0,9,10,7,4,4,17,3,1,2,9,16,5,no,12,1,2,2,3,2,2,2
2nd (60),2:43,18,0,6,7,12,0,5,12,2,1,2,8,2,8,no,11,3,0,2,3,5,2,0
3rd (55),3:53,0,-6,3,3,6,38,4,7,2,1,5,6,3,0,no,14,1,8,1,0,2,4,1
4th (54),3:44,0,-5,7,20,24,0,8,0,4,1,1,12,14,1,no,8,4,0,0,1,3,4,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (61),3:10,13,-1,3,7,17,0,6,16,2,0,0,8,7,6,no,11,5,0,2,3,2,4,0
2nd (52),2:24,0,-6,0,3,0,55,0,0,3,0,4,4,2,0,no,9,0,8,1,0,2,3,2
3rd (51),2:23,9,0,6,7,20,0,0,9,3,0,1,4,5,9,no,13,3,0,1,4,4,3,0
4th (48),2:33,5,-2,5,5,13,0,6,16,3,0,0,8,10,9,no,10,3,0,1,4,2,3,2
,,,,,,,,,,,,,,,,,,,,,,,,
1st (72),3:22,8,-3,6,20,5,0,10,26,4,0,1,8,13,2,no,8,1,0,3,1,3,6,0
2nd (51),3:52,0,-5,5,5,12,13,6,15,3,0,1,4,8,0,no,10,2,4,1,0,2,3,3
3rd (50),2:50,18,0,1,7,6,10,0,8,2,1,1,6,0,11,no,11,1,3,1,5,2,3,0
4th (47),5:06,9,-3,0,7,21,13,0,0,3,1,3,9,6,6,no,13,4,4,0,3,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (59),3:36,5,-5,3,3,10,38,5,0,3,1,5,19,6,3,no,9,2,7,0,1,5,0,1
2nd (55),3:09,4,-3,5,10,0,36,3,0,3,0,5,8,3,1,no,12,0,8,0,1,1,4,1
3rd (52),3:15,8,-2,8,7,20,0,4,7,2,0,2,8,22,9,no,11,4,0,1,3,3,4,1
4th (52),4:24,15,0,4,3,18,0,0,12,3,3,0,20,24,12,no,14,3,0,2,6,0,3,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (51),3:43,16,-2,4,3,15,0,9,6,1,0,2,9,12,7,no,8,4,0,1,3,3,3,3
2nd (47),4:34,1,-5,7,7,24,0,0,13,2,1,0,12,15,3,no,11,4,0,2,1,3,3,2
3rd (47),2:56,18,0,3,10,5,0,3,8,3,2,0,10,6,9,yes,3,1,0,1,5,3,3,0
4th (44),2:51,1,-5,3,7,11,18,3,6,3,1,2,6,4,1,no,13,2,4,2,1,1,4,0
,,,,,,,,,,,,,,,,,,,,,,,,
1st (64),7:08,8,-2,11,3,0,31,13,0,3,0,6,4,15,2,no,14,0,7,0,1,5,5,0
2nd (59),5:02,0,-5,3,10,12,31,0,8,3,0,4,10,5,0,no,12,2,6,2,0,1,2,2
3rd (58),5:16,16,-1,2,5,14,0,7,15,3,0,1,7,6,7,no,10,4,0,1,3,2,3,2
4th (55),3:06,10,-2,2,7,30,0,0,8,2,2,3,7,2,6,no,11,6,0,1,2,2,3,0
,,,,,,,,,,,,,,,,,,,,,,,,
1st (59),6:22,18,0,1,10,16,4,3,7,3,0,2,15,2,7,no,12,3,2,1,4,3,1,1
2nd (58),3:11,17,0,9,7,0,0,7,18,2,2,0,12,11,8,no,11,0,0,2,3,3,5,1
3rd (51),5:40,0,-6,8,3,5,31,4,6,2,0,3,5,16,3,no,14,1,7,1,1,3,4,1
4th (39),2:41,0,-5,2,7,29,0,0,6,3,1,1,8,11,6,no,13,6,0,1,3,1,3,0
,,,,,,,,,,,,,,,,,,,,,,,,
1st (64),3:38,0,-2,1,3,0,62,0,0,1,3,7,9,2,1,no,9,0,11,0,1,2,0,0
2nd (57),3:04,16,0,10,10,8,0,7,6,3,2,1,20,20,8,no,12,2,0,1,4,2,4,0
3rd (57),4:49,8,-2,9,3,14,2,8,15,3,0,0,6,20,3,no,14,2,2,2,2,4,4,2
4th (54),4:41,0,-2,1,7,32,0,0,16,3,1,3,16,9,1,no,13,7,0,2,1,1,2,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (72),3:41,11,-1,2,3,8,31,0,18,3,2,4,8,7,3,no,14,1,7,2,2,0,3,1
2nd (54),4:25,0,-4,5,5,26,0,3,19,3,0,1,8,2,1,no,10,5,0,1,1,4,3,1
3rd (52),2:38,16,0,1,20,9,0,6,0,4,0,0,8,5,8,no,8,2,0,0,4,1,6,1
4th (45),4:57,5,-3,9,3,8,4,13,6,2,0,2,4,14,4,no,9,2,2,1,2,6,3,2
,,,,,,,,,,,,,,,,,,,,,,,,
1st (61),3:35,16,-1,1,2,11,25,0,7,1,0,4,9,9,8,no,12,2,6,1,4,1,2,1
2nd (58),3:10,13,-2,5,20,8,0,4,10,4,2,3,9,3,5,no,8,2,0,1,2,4,3,0
3rd (50),3:40,1,-4,7,3,13,0,9,21,2,0,0,4,6,1,no,14,3,0,3,1,4,5,2
4th (49),3:24,2,-3,4,5,26,0,6,9,3,1,1,8,12,2,no,10,5,0,1,2,1,2,3
,,,,,,,,,,,,,,,,,,,,,,,,
1st (60),3:37,11,-1,1,3,0,43,3,0,3,4,6,16,0,4,no,9,0,8,0,2,2,1,0
2nd (57),3:13,18,0,3,5,15,0,7,9,3,0,1,15,4,9,no,10,3,0,0,5,5,1,1
3rd (56),4:41,3,-5,5,7,25,1,4,16,3,1,1,4,11,2,no,13,5,1,2,1,1,4,0
4th (52),4:09,0,-4,12,10,14,0,5,15,3,0,2,0,20,1,no,12,3,0,2,1,3,5,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (60),3:22,1,-4,1,3,0,55,4,0,3,0,5,12,1,1,no,9,0,9,0,1,2,2,2
2nd (56),4:48,8,-4,3,15,25,0,3,6,3,0,3,4,7,5,yes,1,5,0,1,2,3,3,1
3rd (49),5:36,11,-2,8,5,6,0,4,17,3,0,0,9,16,8,no,10,1,0,2,4,3,4,1
4th (49),2:47,15,-1,2,0,14,0,0,19,0,1,2,11,12,10,no,12,3,0,3,5,3,2,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (56),4:38,13,0,5,5,20,0,8,5,3,0,1,7,6,7,no,10,4,0,0,4,5,2,0
2nd (56),4:41,9,-3,4,0,8,31,0,7,1,1,3,8,10,3,no,13,2,7,1,2,1,2,1
3rd (55),6:43,9,-2,5,3,16,9,8,7,3,1,1,10,15,7,no,9,3,2,1,3,2,2,3
4th (50),6:49,0,-6,3,20,13,0,4,16,4,2,1,18,12,0,no,8,3,0,2,0,2,4,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (77),3:20,0,-5,3,3,0,76,0,0,2,0,7,6,13,0,no,9,0,11,1,0,1,2,2
2nd (55),4:04,11,-2,3,10,13,0,7,13,3,0,2,14,12,6,yes,3,3,0,2,3,4,3,0
3rd (53),3:14,11,-2,3,7,28,0,0,6,3,0,2,8,12,9,no,13,6,0,1,4,1,3,0
4th (50),3:31,10,-1,1,7,22,0,0,11,2,0,2,11,2,7,no,11,5,0,2,3,3,2,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (61),3:59,13,0,2,10,24,0,4,8,3,0,0,22,13,7,no,12,4,0,1,4,1,4,1
2nd (56),3:40,8,-3,9,7,23,0,4,8,2,0,3,6,22,7,no,11,5,0,1,2,3,4,1
3rd (56),3:02,7,-3,0,2,11,33,0,6,1,0,6,2,2,4,no,14,3,8,1,2,1,3,0
4th (46),4:16,3,-5,7,3,3,16,12,7,3,3,3,9,2,2,no,9,1,3,1,1,5,1,2
,,,,,,,,,,,,,,,,,,,,,,,,
1st (66),4:57,18,0,7,7,14,5,3,12,3,1,2,8,15,6,no,13,3,3,1,3,1,3,0
2nd (62),3:23,18,0,1,5,22,0,0,16,3,0,2,14,8,6,no,10,5,0,2,4,3,1,0
3rd (55),3:14,0,-6,8,13,7,0,15,18,3,0,0,10,15,0,no,8,1,0,2,0,4,5,3
4th (53),4:50,0,-6,3,10,8,38,0,0,3,1,4,13,7,0,no,12,1,7,1,0,1,3,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (59),4:37,12,0,3,7,24,0,3,10,3,1,1,10,5,5,no,13,5,0,1,3,2,3,0
2nd (49),2:41,0,-5,11,3,13,18,9,0,3,1,0,2,11,1,no,9,2,4,0,1,4,2,3
3rd (49),4:41,18,0,3,20,8,0,0,0,4,1,0,8,4,7,no,8,2,0,0,4,3,3,1
4th (34),5:24,0,-5,3,3,9,1,9,14,2,0,2,7,7,5,no,14,3,1,2,2,4,5,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (76),4:00,18,0,3,10,25,0,3,17,3,0,1,16,11,4,yes,3,5,0,2,3,3,2,0
2nd (65),3:23,18,0,5,20,0,0,10,12,4,0,1,14,16,6,no,8,0,0,1,3,5,5,0
3rd (48),3:03,0,-6,5,5,10,28,0,6,2,0,5,11,12,0,no,12,2,7,1,0,2,2,2
4th (48),2:24,0,-6,4,3,8,31,8,0,2,1,2,16,18,0,no,14,2,6,1,0,2,4,2
,,,,,,,,,,,,,,,,,,,,,,,,
1st (68),4:19,6,-3,2,3,5,55,0,0,3,1,5,8,12,4,no,14,1,10,0,2,0,3,1
2nd (63),4:23,17,0,10,7,0,0,3,26,3,2,0,12,19,8,no,13,0,0,4,4,2,3,0
3rd (60),4:15,8,-2,1,5,36,0,3,9,3,0,3,12,10,6,no,10,7,0,0,3,2,3,0
4th (56),6:12,3,-5,0,3,15,26,4,10,3,0,3,19,10,2,no,9,3,4,2,1,4,2,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (67),2:58,0,-5,2,0,8,62,0,0,0,1,7,9,4,0,no,12,2,11,0,0,2,1,1
2nd (66),2:20,13,-1,5,7,25,0,6,11,3,0,1,2,4,5,no,13,5,0,1,2,3,3,1
3rd (51),2:49,1,-3,3,5,30,0,0,15,3,0,3,5,6,2,no,10,7,0,1,2,1,3,1
4th (50),3:41,17,0,7,7,0,0,5,14,2,1,0,8,10,10,no,11,0,0,2,5,2,5,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (63),3:05,0,-4,14,20,8,0,10,15,4,0,0,10,25,1,no,8,1,0,2,1,4,3,3
2nd (60),4:33,6,-2,2,10,16,16,3,9,3,0,3,22,12,4,no,12,3,4,1,2,2,3,0
3rd (57),3:27,18,0,3,7,16,0,0,13,2,1,2,10,10,9,no,11,4,0,2,4,1,3,1
4th (51),3:44,8,-4,4,3,4,36,0,0,2,4,6,12,7,5,no,14,1,8,0,2,1,2,0
,,,,,,,,,,,,,,,,,,,,,,,,
1st (63),2:14,18,0,2,7,29,0,0,7,3,1,1,12,10,6,no,13,6,0,1,4,1,2,0
2nd (61),4:06,17,0,0,10,14,0,0,20,3,0,3,22,5,8,no,12,4,0,3,4,1,3,0
3rd (60),3:43,0,-5,7,3,7,38,0,10,3,1,3,9,20,1,no,14,1,8,1,1,2,2,2
4th (46),2:42,0,-6,9,20,5,1,9,8,4,1,3,6,14,3,no,8,2,1,1,1,5,3,0
,,,,,,,,,,,,,,,,,,,,,,,,
1st (61),4:24,12,-2,5,10,26,0,3,7,3,0,1,13,14,5,no,12,5,0,1,3,2,3,1
2nd (60),3:49,0,-6,4,2,9,48,3,0,1,2,7,4,8,0,no,14,2,9,0,0,2,3,0
3rd (52),3:57,15,-1,4,3,15,4,6,6,3,0,2,16,15,10,no,9,4,1,1,5,3,3,0
4th (49),3:06,9,-3,1,7,11,1,0,23,3,0,1,10,6,6,no,13,2,1,3,3,3,3,0
,,,,,,,,,,,,,,,,,,,,,,,,
1st (65),5:13,13,0,4,3,11,25,0,9,3,0,3,16,20,6,no,9,2,5,1,3,2,2,2
2nd (54),3:11,18,0,6,7,6,0,2,15,2,1,1,16,8,7,no,11,1,0,2,3,5,3,1
3rd (46),5:28,0,-4,5,10,27,0,3,5,3,1,2,14,10,3,no,12,6,0,1,2,2,3,0
4th (45),4:24,0,-5,7,10,13,0,7,13,3,2,1,14,22,1,yes,3,3,0,2,1,2,3,2
,,,,,,,,,,,,,,,,,,,,,,,,
1st (59),3:13,0,-4,2,7,4,48,2,0,3,1,5,6,6,0,no,13,1,9,0,0,1,2,1
2nd (57),3:59,9,-3,7,10,21,0,6,7,3,0,2,3,11,6,yes,3,4,0,1,3,4,3,0
3rd (57),3:06,18,0,0,3,15,10,4,7,2,0,3,13,2,9,no,14,3,2,2,5,4,2,0
4th (51),5:57,5,-3,5,10,17,4,0,13,3,0,2,4,7,3,no,12,4,2,2,1,0,4,2
,,,,,,,,,,,,,,,,,,,,,,,,
1st (59),5:07,4,-1,10,20,0,0,9,17,4,0,0,2,20,6,no,8,0,0,2,3,2,5,2
2nd (55),4:08,10,-4,3,10,18,18,0,0,3,0,4,15,10,8,no,12,3,5,0,3,2,1,1
3rd (51),5:42,13,-1,1,5,22,0,0,11,3,2,1,17,6,7,no,10,5,0,1,4,1,2,0
4th (35),4:12,0,-3,2,10,10,9,0,7,3,0,2,11,9,6,yes,2,2,2,1,3,3,3,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (59),3:56,17,0,4,7,7,13,3,8,3,0,2,12,16,9,no,13,1,4,1,5,1,3,0
2nd (54),5:43,9,-3,3,5,24,0,6,10,3,0,3,8,6,6,no,10,5,0,0,3,5,1,1
3rd (54),5:39,0,-6,1,20,14,25,0,0,4,0,4,7,10,0,no,8,4,4,1,0,1,3,1
4th (50),3:28,9,-2,8,7,11,0,4,13,2,1,1,18,13,8,no,11,2,0,2,3,3,4,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (52),3:13,5,-3,7,5,11,0,0,27,3,0,0,2,14,4,no,10,2,0,3,3,3,3,1
2nd (51),5:26,14,-2,6,10,16,0,7,0,3,0,0,12,7,9,no,12,3,0,0,4,3,4,1
3rd (50),4:12,17,-1,6,7,8,0,4,9,2,1,2,6,7,10,no,11,2,0,2,4,2,4,1
4th (49),5:06,0,-6,1,0,23,31,0,0,1,1,6,12,4,0,no,13,5,6,1,0,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (62),3:37,0,-5,8,10,12,34,3,0,3,0,4,13,15,0,no,12,2,6,1,0,2,2,2
2nd (53),3:39,14,-2,3,20,8,0,4,6,4,0,0,11,13,7,no,8,2,0,1,3,4,4,0
3rd (51),3:24,8,-2,2,7,12,0,0,24,3,1,0,10,5,6,no,13,3,0,3,4,2,2,0
4th (46),2:02,13,-2,3,10,19,0,3,0,3,2,0,9,10,10,yes,3,3,0,0,4,2,3,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (59),3:40,8,0,8,20,19,0,4,0,4,0,2,6,24,6,no,8,4,0,0,3,3,4,0
2nd (51),2:21,0,-4,1,7,14,25,0,8,3,1,1,8,7,1,no,13,2,5,2,1,1,2,1
3rd (49),2:51,13,0,6,5,3,0,8,14,3,0,0,5,4,9,no,10,1,0,1,4,5,3,1
4th (49),2:07,0,-1,3,10,16,0,4,17,3,0,0,20,4,6,no,12,3,0,2,3,3,2,2
,,,,,,,,,,,,,,,,,,,,,,,,
1st (67),5:07,0,-5,3,0,4,64,1,0,1,0,9,11,10,2,no,13,1,10,1,1,3,0,1
2nd (57),7:06,16,-1,2,3,26,0,4,7,2,0,5,5,8,8,no,14,6,0,1,4,3,4,0
3rd (53),6:16,7,-2,5,5,12,0,6,20,2,0,1,10,14,5,no,12,3,0,3,3,1,6,0
4th (48),8:08,9,-2,2,5,14,9,4,7,2,0,2,8,2,6,no,10,2,3,1,3,4,1,2
,,,,,,,,,,,,,,,,,,,,,,,,
1st (64),3:38,12,-2,5,20,14,0,8,7,4,0,1,9,10,5,no,8,2,0,1,3,4,4,0
2nd (54),4:24,0,-6,4,10,7,26,0,13,3,1,3,12,9,0,no,12,2,6,2,0,1,1,2
3rd (46),5:24,9,-3,2,3,27,0,3,5,1,1,3,9,6,6,yes,4,7,0,1,3,3,2,0
4th (45),3:32,15,-1,7,3,15,0,0,6,2,2,1,4,9,10,yes,6,3,0,1,5,1,4,0
,,,,,,,,,,,,,,,,,,,,,,,,
1st (64),3:13,17,0,2,10,12,0,0,23,3,0,2,4,4,6,yes,3,3,0,3,3,1,4,1
2nd (54),2:32,18,0,8,3,13,0,12,0,2,0,2,4,9,6,yes,7,3,0,0,4,6,4,0
3rd (47),2:48,0,-5,1,0,15,36,0,0,2,1,2,8,2,1,no,13,2,8,0,1,1,2,1
4th (41),2:16,0,-6,3,15,12,0,2,15,3,2,2,5,6,0,yes,1,3,0,2,0,3,4,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (64),2:59,17,-1,9,5,19,0,0,15,3,1,1,8,18,6,no,10,4,0,1,3,2,4,0
2nd (54),3:10,0,-6,2,10,10,26,6,6,3,0,2,14,12,0,yes,2,2,5,1,0,2,2,3
3rd (52),4:44,17,-1,0,10,12,0,4,10,3,2,1,12,2,7,yes,4,2,0,1,3,4,3,0
4th (35),2:15,2,-4,3,10,13,1,3,7,3,2,0,6,8,2,yes,7,3,1,1,2,2,3,2
,,,,,,,,,,,,,,,,,,,,,,,,
1st (68),2:22,18,0,3,20,3,0,8,16,4,1,1,16,12,7,no,8,1,0,2,4,2,4,0
2nd (52),4:18,17,0,6,7,5,1,5,11,2,1,2,4,2,8,no,11,2,1,1,3,3,5,0
3rd (50),2:27,0,-6,4,0,4,43,0,5,0,1,5,4,13,5,no,13,1,9,1,2,0,2,2
4th (47),5:06,0,-5,4,3,35,0,10,0,3,0,4,10,7,3,no,14,7,0,0,2,6,1,2
,,,,,,,,,,,,,,,,,,,,,,,,
1st (64),2:57,0,-6,3,3,0,48,11,5,3,0,4,22,8,0,no,9,0,8,1,0,4,2,2
2nd (55),3:14,10,-2,5,10,25,0,0,7,3,0,1,16,19,5,yes,5,5,0,1,3,2,3,1
3rd (54),4:57,16,-1,3,3,9,0,0,24,3,1,0,10,16,9,no,14,2,0,3,5,3,2,2
4th (48),5:48,9,-2,7,3,19,0,5,7,1,1,1,8,13,8,no,11,4,0,1,3,3,5,0
,,,,,,,,,,,,,,,,,,,,,,,,
1st (53),4:45,14,-1,3,10,8,0,4,15,3,0,0,12,10,9,yes,3,2,0,2,4,3,2,2
2nd (51),5:05,11,-1,4,3,29,0,5,0,2,0,1,12,21,8,no,14,6,0,0,4,2,5,1
3rd (51),5:13,9,-2,0,10,5,16,5,8,3,0,2,19,4,6,yes,2,1,2,2,3,5,2,0
4th (50),2:58,0,-6,6,7,13,13,6,11,3,0,1,2,10,0,no,13,3,4,2,0,2,3,1
,,,,,,,,,,,,,,,,,,,,,,,,
