Place,VP total,Thinking time,VP from Military Conflicts (Victory),VP from Military Conflicts (Defeat),VP from Treasury Contents,VP from Wonder, VP from Civilian Structures,VP from Scientific Structures,VP from Commercial Structures,VP from Guilds,Constructed stages of the Wonder,Cards discarded,Chained constructions,Coins spent on commerce,Coins gained through commerce,Shields,Wonder side A,Wonder ID,Civilian Structures,Scientific Structures,Guilds,Military Structures,Commercial Structures,Raw Materials,Manufactured Goods,Match ID/Avg lvl
1,59,3:14,8,-4,2,3,4,36,4,6,2,1,6,8,8,5,no,14,1,8,1,2,1,4,0,#60466950
2,58,4:26,13,0,1,7,25,0,0,12,3,1,0,8,10,8,no,13,4,0,2,4,0,3,1,416
3,51,3:41,8,-3,7,20,3,0,10,6,4,0,3,8,8,8,no,8,1,0,1,3,6,3,0,
4,43,2:46,2,-4,7,10,12,2,0,14,3,0,0,8,6,4,no,12,2,2,2,2,2,3,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,72,2:04,13,-1,7,7,26,0,4,16,3,0,1,4,20,4,no,13,5,0,2,3,1,4,0,#64237117
2,64,2:52,13,-1,3,3,20,0,4,22,1,1,1,15,7,6,no,11,4,0,2,3,3,4,0,415
3,52,3:11,0,-6,2,3,11,38,4,0,3,0,5,7,2,0,no,14,3,8,0,0,3,2,2,
4,49,2:52,10,-4,4,3,0,18,3,15,3,0,2,20,17,7,no,9,0,4,2,3,3,2,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,56,3:53,14,-2,7,13,6,0,8,10,3,1,1,12,18,9,no,8,1,0,1,4,3,5,0,#62153431
2,55,3:04,8,-4,1,5,28,0,3,14,2,0,1,20,14,5,no,12,7,0,2,2,1,3,1,415
3,51,4:07,13,-1,4,7,18,0,3,7,3,1,2,8,7,7,no,13,3,0,1,4,3,2,1,
4,50,5:08,1,-5,2,3,5,38,0,6,3,0,4,9,10,1,no,9,1,7,1,1,4,2,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,62,4:03,0,-6,3,2,20,36,0,7,1,2,6,10,12,0,no,14,4,8,1,0,0,2,1,#51787353
2,59,4:26,10,-1,3,20,15,0,4,8,4,1,2,8,11,4,no,8,3,0,1,3,2,4,0,415
3,49,3:16,13,-2,7,7,11,0,6,7,2,1,2,7,8,10,no,11,3,0,1,3,4,3,1,
4,45,3:49,10,-2,1,3,4,26,3,0,3,1,3,12,6,9,no,9,1,5,0,4,2,3,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,46,3:16,10,0,5,5,9,0,4,13,2,1,1,11,11,7,no,12,2,0,2,4,3,4,0,#57178900
2,45,2:55,8,-2,2,3,18,0,1,15,1,1,4,10,9,7,no,8,5,0,2,3,4,2,0,414
3,43,3:15,0,-4,7,7,10,16,0,7,2,1,2,6,20,6,no,11,2,4,1,2,0,5,1,
4,43,4:32,4,-2,5,10,18,0,8,0,3,0,0,18,5,6,yes,7,3,0,0,3,5,3,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,60,4:05,10,-1,3,5,17,0,3,23,3,0,1,14,7,4,no,10,3,0,2,3,3,3,1,#61380175
2,56,4:11,0,-5,3,3,9,43,3,0,3,1,6,10,9,1,no,14,2,9,0,1,2,3,0,414
3,51,5:06,16,0,0,13,12,0,0,10,3,0,2,18,6,11,no,8,3,0,2,5,3,2,0,
4,43,2:29,5,-3,10,7,13,0,6,5,2,0,0,3,23,10,no,11,2,0,1,3,3,4,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,61,2:17,9,-1,2,7,22,0,0,22,2,1,1,14,12,4,no,11,4,0,3,2,0,5,1,#61222042
2,57,2:25,0,-5,1,3,0,55,3,0,3,2,3,26,6,0,no,9,0,8,1,0,3,0,3,414
3,52,3:17,11,0,10,7,8,0,6,10,3,0,0,4,14,10,no,13,2,0,1,5,4,3,0,
4,51,2:54,8,-2,6,2,22,10,5,0,1,0,3,6,18,7,no,14,4,3,0,3,3,5,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,62,3:21,9,-3,3,3,0,50,0,0,3,0,4,16,14,4,no,9,0,9,0,2,1,2,3,#61068198
2,56,3:15,0,-6,11,3,25,4,12,7,2,0,1,8,22,0,no,14,5,2,1,0,4,4,2,414
3,54,3:23,18,0,3,10,5,9,3,6,3,1,3,18,6,9,no,12,1,3,1,5,3,1,0,
4,50,2:44,9,-3,6,7,15,0,3,13,2,1,3,12,12,5,no,11,3,0,2,2,5,3,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,57,3:07,13,-3,6,15,14,0,5,7,3,0,3,11,18,8,yes,1,3,0,1,3,5,2,1,#51841394
2,57,4:06,1,-2,5,10,14,25,4,0,3,0,3,10,11,4,no,12,2,4,1,2,1,4,1,414
3,46,4:43,8,-1,4,3,9,10,4,9,2,2,2,12,6,4,no,14,2,3,1,3,2,4,1,
4,39,3:20,0,-2,3,7,24,1,3,3,3,1,1,6,4,4,no,13,6,1,1,2,2,2,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,56,4:13,10,-1,3,20,12,0,4,8,4,1,2,11,6,4,no,8,3,0,1,3,3,3,0,#59070452
2,52,4:18,13,-2,2,3,12,18,0,6,2,0,4,2,8,7,no,14,2,5,1,3,2,3,2,414
2,52,3:29,9,-2,2,10,16,0,3,14,3,0,2,8,0,6,yes,3,4,0,2,3,3,3,0,
4,43,4:19,0,-5,5,3,20,10,3,7,3,2,1,4,11,1,no,9,4,2,1,1,2,3,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,63,2:42,12,-1,9,7,14,0,4,18,2,0,0,6,22,6,no,11,2,0,3,3,1,4,3,#61660936
2,63,2:50,0,-5,3,3,0,62,0,0,3,1,7,5,12,0,no,14,0,11,0,0,3,3,0,413
3,55,4:07,13,-2,0,10,19,0,4,11,3,0,0,26,6,8,no,12,4,0,1,3,2,3,2,
4,49,4:19,9,-2,5,20,8,0,9,0,4,0,2,8,5,5,no,8,2,0,0,3,5,4,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,58,3:14,3,-3,3,3,8,38,6,0,3,0,3,10,8,3,no,9,1,6,1,2,2,2,3,#64238370
2,56,2:05,15,0,5,7,3,0,4,22,2,0,2,13,18,11,no,11,1,0,3,4,3,4,1,413
3,51,3:01,5,-4,8,7,31,1,3,0,3,0,1,12,8,4,no,13,6,1,0,2,4,2,0,
4,50,2:41,8,-2,3,15,8,0,4,14,3,1,1,14,15,8,yes,1,2,0,2,4,1,4,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,56,3:22,8,0,5,3,5,25,3,7,3,2,2,16,8,6,no,9,1,4,1,3,3,1,2,#51828068
2,50,3:01,1,-4,2,7,24,16,0,4,3,0,3,6,12,1,no,13,5,4,1,1,1,3,0,413
3,43,4:31,4,-1,7,3,18,1,4,7,3,1,2,8,16,6,no,14,4,1,1,3,3,4,1,
4,42,3:37,13,-3,4,13,11,0,4,0,3,2,0,12,6,8,no,8,3,0,0,3,4,3,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,56,2:55,14,0,11,7,5,0,5,14,2,1,3,3,20,11,no,11,1,0,2,4,5,3,0,#58444078
2,51,4:05,8,-2,7,10,8,0,7,13,3,0,0,14,9,8,no,12,1,0,2,4,2,4,2,412
3,49,2:46,5,-3,0,7,26,9,0,5,3,0,2,12,1,2,no,13,5,3,1,2,2,2,0,
4,48,3:11,5,-5,1,2,15,28,2,0,1,0,4,7,6,3,no,14,4,7,0,1,2,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,59,3:26,18,0,4,7,19,0,6,5,2,1,1,13,4,7,no,11,4,0,1,3,4,3,0,#50076099
2,58,3:11,18,0,5,10,10,0,0,15,3,1,0,16,16,8,no,12,2,0,2,4,2,3,1,412
3,47,3:55,0,-6,4,20,19,0,4,6,4,1,2,18,15,2,no,8,4,0,1,1,3,4,0,
4,45,3:55,0,-6,10,3,4,18,9,7,3,3,2,2,14,0,no,9,1,4,1,0,2,3,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,66,3:24,13,-3,8,10,31,0,0,7,3,1,2,10,18,5,no,12,6,0,1,2,1,3,1,#60427416
2,66,3:17,1,-4,0,3,4,62,0,0,1,1,7,12,2,1,no,9,1,11,0,1,1,1,1,412
3,51,3:38,16,-1,2,7,18,0,3,6,3,1,2,4,4,11,no,13,4,0,1,5,1,3,0,
4,47,4:04,5,-3,8,10,5,0,10,12,3,0,0,10,12,4,yes,3,1,0,2,3,5,3,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,63,3:47,12,-1,2,7,16,0,3,24,3,0,1,8,8,5,no,13,4,0,3,3,1,4,0,#63394640
2,60,3:17,13,-1,5,7,17,1,9,9,2,0,2,14,16,6,no,11,3,1,1,3,4,3,1,410
3,53,3:12,10,-3,6,3,17,16,4,0,2,0,4,6,20,7,no,9,4,4,0,3,1,4,2,
4,44,2:08,0,-6,3,10,11,26,0,0,3,0,3,18,2,0,no,12,2,6,1,0,5,0,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,58,2:52,16,0,7,7,4,0,8,16,2,1,1,10,15,8,no,11,1,0,2,3,3,4,2,#63394335
2,56,3:12,4,-3,1,7,31,10,0,6,3,0,2,6,8,3,no,13,6,3,1,2,1,2,0,410
3,50,3:22,5,-4,2,3,13,31,0,0,3,0,4,4,10,6,no,14,3,7,0,2,1,4,1,
4,40,2:14,4,-2,2,13,3,0,9,11,3,0,0,19,6,6,no,8,1,0,2,3,5,4,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,54,3:32,0,-4,3,3,26,26,0,0,2,0,2,6,16,1,no,14,5,5,1,1,0,4,2,#63394059
2,52,3:03,8,-1,1,5,21,1,0,17,3,0,1,12,10,3,no,10,4,1,2,2,2,3,1,410
3,50,2:06,8,-1,2,20,5,0,4,12,4,0,0,10,6,6,no,8,2,0,2,3,3,4,0,
4,39,2:59,10,0,3,7,4,1,7,7,3,0,0,10,6,9,no,13,1,1,1,4,5,2,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,63,2:54,13,-1,4,20,10,0,9,8,4,0,0,17,8,4,no,8,2,0,1,3,5,2,1,#63393641
2,60,3:02,13,-2,5,0,24,0,0,20,2,0,2,4,19,6,no,13,5,0,3,3,1,4,0,410
3,55,1:55,9,-2,3,3,0,38,4,0,1,0,5,6,6,4,no,9,0,8,0,2,2,3,2,
4,46,3:28,0,-6,1,3,22,5,5,16,3,0,1,10,4,0,no,14,4,3,2,0,3,5,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,57,5:02,8,-4,2,3,10,38,0,0,3,1,3,11,14,5,no,14,2,7,1,2,1,2,2,#50707397
2,56,3:01,14,-2,6,5,25,0,3,5,3,0,1,4,15,9,no,10,5,0,0,4,3,3,0,410
3,51,3:02,13,-1,8,3,5,0,9,14,2,1,1,6,10,7,no,9,1,0,2,4,5,3,2,
4,44,4:55,1,-5,2,10,12,13,4,7,3,2,2,20,2,1,no,12,2,4,1,1,1,4,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,56,6:32,10,-1,1,5,24,0,0,17,3,0,0,19,12,7,no,10,4,0,2,4,3,2,0,#47782949
2,49,5:10,8,-3,10,10,12,0,9,3,3,1,2,10,8,5,no,12,3,0,1,2,6,2,0,410
3,49,4:08,13,-1,4,7,13,4,0,9,3,1,3,8,10,10,no,13,3,2,1,4,1,3,0,
4,45,6:37,1,-5,8,3,5,18,9,6,3,3,1,12,19,1,no,9,1,3,2,1,2,3,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,67,3:14,18,0,4,5,20,0,0,20,3,1,1,8,8,4,no,10,4,0,2,3,2,3,0,#62620077
2,57,3:29,0,-6,2,3,0,43,0,15,3,1,4,4,8,0,no,14,0,9,2,0,1,3,2,409
3,50,3:21,18,0,6,3,0,16,3,4,3,3,3,10,8,6,no,9,0,2,2,3,4,2,1,
4,49,3:23,0,-6,7,10,30,0,8,0,3,0,1,12,10,0,no,12,6,0,0,0,3,5,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,60,2:27,9,-3,5,20,25,0,4,0,4,0,1,10,23,4,no,8,5,0,0,2,3,4,0,#61068505
2,57,3:24,15,-1,3,3,19,0,4,14,2,0,0,14,8,10,no,14,4,0,2,5,4,2,1,409
3,50,3:27,12,-2,2,3,9,9,0,17,1,1,3,10,6,6,no,11,2,3,3,3,1,3,1,
4,47,3:16,0,-6,7,10,8,25,3,0,3,1,2,15,12,3,no,12,2,4,1,1,2,3,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,68,3:12,5,-4,6,3,17,34,0,7,3,0,4,12,24,3,no,9,3,6,1,1,3,3,1,#60465449
2,55,2:58,17,-1,4,7,10,0,3,15,3,2,0,14,11,10,no,13,2,0,2,5,1,3,0,408
3,52,2:22,3,-4,4,20,5,0,11,13,4,0,1,16,12,2,no,8,1,0,2,1,5,4,1,
4,44,3:46,10,-2,1,5,15,0,2,13,3,2,2,11,6,6,no,10,4,0,1,4,2,2,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,52,4:14,0,-6,6,3,6,26,8,9,3,1,2,12,17,0,no,9,1,5,1,0,2,5,2,#58532613
2,51,3:19,9,-2,9,7,18,0,2,8,3,2,0,9,16,4,no,13,3,0,1,3,4,2,0,407
3,51,2:28,9,-3,0,5,28,0,0,12,3,1,2,14,6,3,no,10,6,0,1,2,2,2,1,
4,38,2:41,17,0,5,3,4,0,4,5,1,4,2,10,6,9,no,11,1,0,1,4,4,3,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,62,2:16,10,-2,8,3,24,1,9,9,2,0,3,8,12,2,no,9,5,1,1,2,6,3,0,#57269689
2,57,3:04,8,-3,6,20,13,0,4,9,4,1,1,16,22,6,no,8,2,0,1,3,3,2,2,407
3,57,2:20,0,-6,0,5,3,55,0,0,2,1,4,12,0,0,no,12,1,9,1,0,1,2,1,
